step,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,val_balanced_accuracy
1,0.08737871795892715,0.2093622386455536,0.9734513274336283,0.9356435643564357,0.0003,0.9219904487295008
2,0.05811704322695732,0.22710038721561432,0.9819469026548673,0.9438943894389439,0.0003,0.9314516129032258
3,0.008770246990025043,0.1669321060180664,0.9978761061946902,0.9636963696369637,0.0003,0.9612204901784105
4,0.01014132983982563,0.2284565567970276,0.9975221238938053,0.9504950495049505,0.0003,0.9457109389079112
5,0.0027150276582688093,0.20423361659049988,0.9996460176991151,0.966996699669967,0.0003,0.9627748242926654
6,0.0028251910116523504,0.25090786814689636,0.9996460176991151,0.9554455445544554,0.0003,0.9548567309425122
7,0.00012024005263810977,0.221239373087883,1.0,0.9653465346534653,0.0003,0.9607586952604072
8,0.004343077540397644,0.3265296220779419,0.9989380530973452,0.9521452145214522,0.0003,0.945249143989908
9,0.042526185512542725,0.4000263810157776,0.9904424778761062,0.9455445544554455,0.0003,0.9359456658857452
10,0.01588721200823784,0.2436482459306717,0.9968141592920354,0.9636963696369637,0.00015,0.9587425662281492
11,0.00020078015222679824,0.23571409285068512,1.0,0.9620462046204621,0.00015,0.9573459181834565
12,8.32972364150919e-06,0.22176723182201385,1.0,0.9620462046204621,0.00015,0.9579653991710217
13,1.3215835679147858e-06,0.251438707113266,1.0,0.9653465346534653,0.00015,0.9607586952604072
14,8.586026183365902e-07,0.2538924217224121,1.0,0.9653465346534653,0.00015,0.9607586952604072
15,5.997476364427712e-07,0.25941818952560425,1.0,0.9653465346534653,7.5e-05,0.9607586952604072
16,5.062966579316708e-07,0.2617589235305786,1.0,0.9653465346534653,7.5e-05,0.9607586952604072
17,4.005025004971685e-07,0.2653077244758606,1.0,0.9653465346534653,7.5e-05,0.9607586952604072
