sample_id_a,sample_id_b,label_a,label_b,split_a,split_b,pca_euclidean_distance,same_class
features_1:712,features_1:838,1,1,train,train,10.287214279174805,True
features_1:1828,features_1:2200,1,1,train,train,11.251194953918457,True
features_1:1192,features_1:1616,1,1,train,train,11.385479927062988,True
features_1:1867,features_1:1957,1,1,train,train,11.390984535217285,True
features_1:1480,features_1:1515,1,1,train,train,11.56922435760498,True
features_1:1036,features_1:1301,1,1,train,train,11.7171049118042,True
features_1:474,features_1:1588,1,1,train,train,11.872713088989258,True
features_1:1060,features_1:1103,1,1,train,train,11.96285629272461,True
features_1:231,features_1:683,1,1,train,train,12.270082473754883,True
features_1:869,features_1:1696,1,1,train,train,12.453869819641113,True
features_1:211,features_1:659,1,1,train,train,12.495835304260254,True
features_1:952,features_1:1548,1,1,train,train,12.517477035522461,True
features_1:1166,features_1:1534,1,1,train,train,12.565780639648438,True
features_1:1736,features_1:2084,1,1,train,train,12.627050399780273,True
features_1:1017,features_1:1290,1,1,train,train,12.636859893798828,True
features_1:2141,features_1:2152,1,1,train,train,12.742987632751465,True
features_1:820,features_1:1773,1,1,train,train,12.826857566833496,True
features_1:396,features_1:623,1,1,train,train,12.84939956665039,True
features_1:77,features_1:366,1,1,train,train,12.881749153137207,True
features_1:1516,features_1:1765,1,1,train,train,12.884872436523438,True
features_1:2133,features_1:2211,1,1,train,train,13.071905136108398,True
features_1:1409,features_1:1480,1,1,train,train,13.385826110839844,True
features_1:210,features_1:499,1,1,train,train,13.633586883544922,True
features_1:3,features_1:75,1,1,train,train,13.645454406738281,True
features_1:1120,features_1:1471,1,1,train,train,13.68188762664795,True
features_1:817,features_1:938,1,1,train,train,13.718477249145508,True
features_1:860,features_1:1477,1,1,train,train,13.878819465637207,True
features_1:268,features_1:298,1,1,train,train,13.927778244018555,True
features_1:907,features_1:922,1,1,train,train,14.002263069152832,True
features_1:1032,features_1:1234,1,1,train,train,14.051340103149414,True
features_1:1558,features_1:1815,1,1,train,train,14.083183288574219,True
features_1:1228,features_1:1251,1,1,train,train,14.200639724731445,True
features_1:465,features_1:576,1,1,train,train,14.21882152557373,True
features_0:676,features_0:1339,0,0,train,train,14.240765571594238,True
features_1:1871,features_1:2133,1,1,train,train,14.259078979492188,True
features_1:99,features_1:751,1,1,train,train,14.270759582519531,True
features_1:1405,features_1:1490,1,1,train,train,14.277944564819336,True
features_1:1936,features_1:2254,1,1,train,train,14.426215171813965,True
features_1:132,features_1:499,1,1,train,train,14.459394454956055,True
features_1:242,features_1:499,1,1,train,train,14.480255126953125,True
features_1:765,features_1:1787,1,1,train,train,14.493950843811035,True
