sample_id,source_file,source_index,label,split,robust_global_stat_score,pca_distance,nearest_neighbor_distance,combined_rank_score,reason
features_0:213,features_0.npy,213,0,train,3.9360270220081395,69.629555,39.3403434753418,2.983008849557522,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:1514,features_0.npy,1514,0,train,3.7501473852963,74.2129,45.828758239746094,2.983008849557522,"robust global statistics, PCA distance, nearest-neighbor distance"
features_1:1568,features_1.npy,1568,1,train,3.7095611761333354,67.55921,47.426422119140625,2.9794690265486725,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:1179,features_0.npy,1179,0,train,4.641756979738076,58.05162,36.231624603271484,2.9766371681415933,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:408,features_0.npy,408,0,train,3.551881223151861,67.14031,42.838680267333984,2.973805309734513,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:1441,features_0.npy,1441,0,train,5.165174252720017,69.16109,32.0002326965332,2.9649557522123895,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:721,features_0.npy,721,0,train,3.3751760874930263,65.62348,37.1437873840332,2.9596460176991153,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:94,features_0.npy,94,0,train,3.3732782129381342,68.82726,35.531837463378906,2.9571681415929203,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:188,features_0.npy,188,0,train,3.934051563705364,68.191414,30.745758056640625,2.9387610619469027,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:1128,features_0.npy,1128,0,train,3.106004158259162,65.55225,34.792694091796875,2.9384070796460176,"robust global statistics, PCA distance, nearest-neighbor distance"
features_1:1375,features_1.npy,1375,1,train,2.9212387207364903,61.5886,40.102325439453125,2.938053097345133,"robust global statistics, PCA distance, nearest-neighbor distance"
features_1:67,features_1.npy,67,1,train,3.1315860241082807,54.56656,40.18492126464844,2.9341592920353983,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:169,features_0.npy,169,0,train,3.142778650127151,55.13766,37.19751739501953,2.9334513274336285,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:661,features_0.npy,661,0,train,4.019648612617027,52.41705,31.979122161865234,2.9313274336283186,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:968,features_0.npy,968,0,train,3.686408846882634,58.283585,30.968984603881836,2.928495575221239,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:303,features_0.npy,303,0,train,4.845842723116388,65.00414,30.042543411254883,2.9274336283185844,"robust global statistics, PCA distance, nearest-neighbor distance"
features_1:840,features_1.npy,840,1,train,2.7243615209135728,71.34735,44.54991912841797,2.926725663716814,"robust global statistics, PCA distance, nearest-neighbor distance"
features_1:1283,features_1.npy,1283,1,train,2.9059065292082717,51.740376,37.4565315246582,2.9104424778761064,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:770,features_0.npy,770,0,train,2.67664871172194,60.12973,37.88009262084961,2.9086725663716813,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:248,features_0.npy,248,0,train,3.1740579198860903,50.26498,33.4556999206543,2.904424778761062,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:1205,features_0.npy,1205,0,train,4.4173623929493955,56.5929,29.102224349975586,2.897345132743363,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:247,features_0.npy,247,0,train,2.6887233287728445,52.94744,37.02863693237305,2.8916814159292037,"robust global statistics, PCA distance, nearest-neighbor distance"
features_1:570,features_1.npy,570,1,train,3.6671940590520244,46.2342,31.701549530029297,2.887433628318584,"robust global statistics, PCA distance, nearest-neighbor distance"
features_1:929,features_1.npy,929,1,train,2.735854009032046,49.000698,40.55601119995117,2.8856637168141592,"robust global statistics, PCA distance, nearest-neighbor distance"
features_1:191,features_1.npy,191,1,train,2.4123326591386824,65.9206,43.400794982910156,2.8842477876106196,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:467,features_0.npy,467,0,train,2.6967848552724,50.765507,33.38953399658203,2.8715044247787613,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:365,features_0.npy,365,0,train,2.4190262603293875,55.75274,38.47764205932617,2.8711504424778758,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:318,features_0.npy,318,0,train,3.785644393340752,57.099545,28.49800682067871,2.8661946902654867,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:1493,features_0.npy,1493,0,train,2.381579500235936,55.73185,41.41756057739258,2.865486725663717,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:289,features_0.npy,289,0,train,2.726778734886766,45.47931,41.28709411621094,2.8601769911504427,"robust global statistics, PCA distance, nearest-neighbor distance"
features_1:1295,features_1.npy,1295,1,train,2.4015604455936135,51.909348,40.30205535888672,2.854867256637168,"robust global statistics, PCA distance, nearest-neighbor distance"
features_1:2337,features_1.npy,2337,1,train,2.2586627445351124,56.20714,38.76673126220703,2.8442477876106196,"robust global statistics, PCA distance, nearest-neighbor distance"
