model,metric,point_estimate,ci_lower,ci_upper
svm_rbf,roc_auc,0.9970526363155705,0.9940699806176694,0.9991068477837538
svm_rbf,pr_auc,0.9979315889496938,0.9958403154242733,0.9994721649865415
svm_rbf,balanced_accuracy,0.9721744119334481,0.958336374907724,0.9839587235330738
xgboost,roc_auc,0.9934190543687355,0.9885545276045751,0.9970843348712637
xgboost,pr_auc,0.9953116125799465,0.9917537066229695,0.9980764975508575
xgboost,balanced_accuracy,0.9597043636731801,0.9433911882093131,0.9754253450234317
cnn_spatial_head,roc_auc,0.9970301373561473,0.9943504019244216,0.9990003385346605
cnn_spatial_head,pr_auc,0.9978311502702499,0.9954226989260812,0.9993971919125756
cnn_spatial_head,balanced_accuracy,0.969137052411326,0.9550326605877999,0.9820244078044252
ensemble_uniform,roc_auc,0.9974013701866289,0.9941910031197333,0.9993806436818616
ensemble_uniform,pr_auc,0.998075680758268,0.9958198000343165,0.9995586219602659
ensemble_uniform,balanced_accuracy,0.9673652593567548,0.9533721680748035,0.980077590831503
ensemble_weighted,roc_auc,0.9973788712272057,0.9944622808078274,0.9993852677410818
ensemble_weighted,pr_auc,0.9980793238245559,0.9957805941911304,0.9995356894890418
ensemble_weighted,balanced_accuracy,0.970166379804934,0.9571389088754129,0.9820476854236708
convnext,roc_auc,0.9932840606121968,0.9877280966296919,0.9975608357875652
convnext,pr_auc,0.9947024803336308,0.989315881963843,0.9983022339723785
convnext,balanced_accuracy,0.9565320103945192,0.9406709485282677,0.9717531989332125
