pooling,C,gamma,class_weight,pca,validation_balanced_accuracy,fit_seconds
gap,10.0,scale,none,none,0.9730131555235177,2.7480326000004425
gap,10.0,scale,balanced,none,0.9730131555235177,2.6813455000010435
gap,100.0,scale,balanced,none,0.9730131555235177,2.8678469999995286
gap,100.0,scale,none,none,0.9730131555235177,2.793432300000859
gap,100.0,0.001,balanced,none,0.971616507478825,3.3864109000005556
gap,100.0,0.001,none,none,0.971616507478825,3.3812879999986762
gap,10.0,0.001,none,none,0.971616507478825,3.1014481999991403
gap,10.0,0.001,balanced,none,0.971616507478825,3.1209391000011237
gap,1.0,scale,balanced,none,0.9708393404216976,2.791892299999745
mean_std,100.0,0.0001,balanced,none,0.969600378446567,4.296467499998471
mean_std,10.0,0.0001,none,none,0.969600378446567,4.407190799998716
mean_std,100.0,0.0001,none,none,0.969600378446567,4.230854100000215
mean_std,10.0,0.0001,balanced,none,0.969600378446567,4.525411000000531
gap,1.0,0.001,none,none,0.9688232113894395,3.1543905999988056
gap,1.0,scale,none,none,0.967584249414309,2.767558999999892
gap,1.0,0.0005,balanced,none,0.9674265633447467,2.2703868000007787
gap,1.0,0.001,balanced,none,0.9674265633447467,3.272032799999579
gap,100.0,0.0005,balanced,none,0.9669647684267435,2.257872400001361
gap,10.0,0.0005,none,none,0.9669647684267435,2.11086719999912
gap,100.0,0.0005,none,none,0.9669647684267435,2.2731299999995827
gap,10.0,0.0005,balanced,none,0.9669647684267435,2.0460491000012553
mean_std,10.0,scale,none,none,0.9629325103622274,7.06784719999996
mean_std,100.0,scale,balanced,none,0.9629325103622274,7.0367824000004475
mean_std,10.0,scale,balanced,none,0.9629325103622274,7.206377200000134
mean_std,100.0,scale,none,none,0.9629325103622274,7.42001209999944
gap,1.0,0.0005,none,none,0.9621553433051,2.2709638999986055
gap,10.0,0.0001,balanced,none,0.961997657235538,1.4255943000007392
mean_std,10.0,0.0005,none,none,0.9615358623175347,8.850619599999845
mean_std,100.0,0.0005,balanced,none,0.9615358623175347,8.334453699999358
mean_std,10.0,0.0005,balanced,none,0.9615358623175347,8.843870800001241
mean_std,100.0,0.0005,none,none,0.9615358623175347,7.966638399999283
gap,10.0,0.0001,none,none,0.9607586952604072,1.3615606999992451
gap,1.0,0.0001,balanced,none,0.9606010091908452,2.539129699998739
mean_std,1.0,0.0001,balanced,none,0.9606010091908452,5.5599342999994406
mean_std,1.0,scale,balanced,none,0.95998152820328,7.12681049999992
gap,100.0,0.0001,balanced,none,0.9587425662281492,1.4865984999996726
gap,100.0,0.0001,none,none,0.9587425662281492,1.9256545000007463
mean_std,1.0,0.0005,balanced,none,0.9585848801585872,8.127180200001021
mean_std,1.0,0.0005,none,none,0.9540908271760677,8.15488600000026
gap,1.0,0.0001,none,none,0.9520746981438097,2.58844979999958
mean_std,1.0,scale,none,none,0.9520746981438097,8.548837299998922
mean_std,1.0,0.0001,none,none,0.9512975310866822,5.480535700000473
mean_std,1.0,0.001,balanced,none,0.9497431969724275,16.92768099999921
mean_std,100.0,0.001,balanced,none,0.9485042349972967,14.994283300000461
mean_std,1.0,0.001,none,none,0.9485042349972967,15.308320599999206
mean_std,100.0,0.001,none,none,0.9485042349972967,14.715673099999549
mean_std,10.0,0.001,none,none,0.9485042349972967,16.291642500000307
mean_std,10.0,0.001,balanced,none,0.9485042349972967,17.127973500000735
gap,0.1,0.0005,balanced,none,0.9477270679401694,4.184912199998507
gap,0.1,scale,balanced,none,0.9367115696521895,4.539242599999852
gap,0.1,0.001,balanced,none,0.916539016038926,4.824198000000251
mean_std,0.1,scale,balanced,none,0.9063006848080735,11.061544100000901
gap,0.1,scale,none,none,0.9036876013696162,4.273953599999004
gap,0.1,0.0005,none,none,0.9016714723373581,4.004861199999141
mean_std,0.1,0.0001,balanced,none,0.9016602090466751,10.535669599999892
gap,0.1,0.001,none,none,0.9002748242926654,4.6455592999991495
mean_std,0.1,0.0005,balanced,none,0.8917147233735808,12.009849799998847
gap,0.1,0.0001,balanced,none,0.882749143989908,5.134465700000874
mean_std,0.1,scale,none,none,0.8677013876374121,11.483920700000454
mean_std,0.1,0.0005,none,none,0.8534307983420436,10.911864499999865
mean_std,0.1,0.0001,none,none,0.8404104343124887,10.158351000000039
mean_std,0.1,0.001,balanced,none,0.8187736529104344,19.392066100001102
gap,0.1,0.0001,none,none,0.802881149756713,4.725799699999698
mean_std,0.1,0.001,none,none,0.785974950441521,20.241797399999996
