step,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate
0,0.6115163007141214,0.6138909851068711,0.5,0.5,0.1
1,0.5597988771231829,0.5649330586490064,0.832715,0.805674,0.1
2,0.5168373040498886,0.5286083849448182,0.865391,0.833743,0.1
3,0.4800123661598273,0.4962573206857486,0.878056,0.846617,0.1
4,0.4466387306061466,0.4645138795521393,0.893111,0.8687940000000001,0.1
5,0.41694441333281257,0.43922499825458716,0.91023,0.886939,0.1
6,0.3917704613124375,0.4171574097065249,0.920434,0.900433,0.1
7,0.3689546881998535,0.396972065760751,0.924191,0.890194,0.1
8,0.3489852912499841,0.37873477714978426,0.928213,0.9001170000000001,0.1
9,0.3286710766195196,0.358590238017611,0.932235,0.906943,0.1
10,0.3099052914792457,0.34186752715913377,0.936521,0.908959,0.1
11,0.2943468622823732,0.327401126719544,0.942474,0.917023,0.1
12,0.28037880293563405,0.31448455582750906,0.944934,0.9190389999999999,0.1
13,0.26709682460116074,0.30231405691345137,0.946098,0.921675,0.1
14,0.255494455502624,0.2926965408986158,0.948559,0.916246,0.1
15,0.24403337939123138,0.2832826291496801,0.947527,0.9190389999999999,0.1
16,0.23320044988024552,0.2736597734045471,0.949423,0.919659,0.1
17,0.22408279794243585,0.2665989781935813,0.952748,0.917023,0.1
18,0.2152402131299002,0.2590929698629348,0.953348,0.918262,0.1
19,0.20683716880009237,0.251883849415547,0.954044,0.919659,0.1
20,0.19821175167782118,0.24398713427359123,0.957237,0.9257070000000001,0.1
21,0.19066014339966056,0.2381040878938173,0.96013,0.923072,0.1
22,0.18298149895483415,0.23247584837670177,0.961426,0.927723,0.1
23,0.17645639161884258,0.22650646678365693,0.964751,0.927723,0.1
24,0.16998429193565276,0.2225222842577267,0.968375,0.92974,0.1
25,0.16448040032149416,0.21849197979782872,0.969072,0.931756,0.1
26,0.1590428705355235,0.21341084914509417,0.969505,0.927723,0.1
27,0.1532072745514127,0.20884733827839982,0.9714,0.92974,0.1
28,0.1474363511438127,0.20249231853107413,0.973561,0.92974,0.1
29,0.14221710390551429,0.19794796545537982,0.974593,0.92974,0.1
30,0.13781711058279053,0.19417495712969857,0.977785,0.935788,0.1
31,0.1329588148070384,0.19162582397989608,0.979082,0.935788,0.1
32,0.12889823749265839,0.18905545015920802,0.97865,0.937804,0.1
33,0.12508573574236537,0.185347221859365,0.980511,0.937185,0.1
34,0.12159545410523373,0.18135749139567905,0.98081,0.935168,0.1
35,0.11754047204105728,0.17794327890629522,0.980943,0.936565,0.1
36,0.11353062540226805,0.17504505475325258,0.979779,0.940597,0.1
37,0.1103520036073385,0.1732165223470099,0.981974,0.937185,0.1
38,0.10659175352152206,0.1707904587127883,0.983571,0.937185,0.1
39,0.10296702075947439,0.16822950876081247,0.984303,0.937185,0.1
40,0.09981281861860668,0.1658499766350186,0.984735,0.935168,0.1
41,0.09664742887119013,0.16275807658960373,0.984303,0.937185,0.1
42,0.09423411077168663,0.16063647555716015,0.985899,0.942614,0.1
43,0.09139057031346369,0.1581394033915311,0.986498,0.939201,0.1
44,0.08868676011788502,0.15633492729635817,0.987662,0.939201,0.1
45,0.0862225755381571,0.15439682338454394,0.987662,0.943233,0.1
46,0.0838135179214641,0.15211893342014268,0.989259,0.945249,0.1
47,0.08121319208574374,0.14979936476495645,0.989691,0.943852,0.1
48,0.07938652371690996,0.1496860357477843,0.991719,0.943233,0.1
49,0.07740620749137175,0.14846870268575182,0.992019,0.939201,0.1
50,0.07545854444524883,0.14689520963701255,0.992451,0.941217,0.1
51,0.07351173128141503,0.14582750869057334,0.993615,0.943852,0.1
52,0.07167571427399475,0.1438912024272747,0.993915,0.941836,0.1
53,0.0699986211995108,0.1430157437089142,0.993748,0.941836,0.1
54,0.06830299610766558,0.1411688187476186,0.994347,0.943852,0.1
55,0.0663896416322188,0.13914606515886785,0.994347,0.941836,0.1
56,0.0648012048172542,0.13843786965735969,0.994347,0.941836,0.1
57,0.0630822458226992,0.13691362380526542,0.995211,0.943852,0.1
58,0.06130365869244643,0.13639048302220333,0.995644,0.943852,0.1
59,0.05980923972174987,0.13510940442931388,0.996675,0.947885,0.1
60,0.05825055831367463,0.13365872429181258,0.996675,0.949901,0.1
61,0.05703719879294523,0.13193557899416095,0.996675,0.949901,0.1
62,0.05574986705424644,0.13123125370619543,0.997107,0.949901,0.1
63,0.05451432528592382,0.13066162248126695,0.997539,0.947885,0.1
64,0.05318203385330044,0.12957959262563512,0.997539,0.945869,0.1
65,0.05194296954269727,0.12811822056111022,0.997972,0.949901,0.1
66,0.05076314378311379,0.12647316774058312,0.998404,0.951917,0.1
67,0.04950021732009255,0.1254318119261088,0.998404,0.953933,0.1
68,0.04844531235487027,0.12455615889328676,0.998404,0.953933,0.1
69,0.047354195680494,0.1241360788374583,0.998404,0.951917,0.1
70,0.04632669135363591,0.1229108649095837,0.998404,0.951298,0.1
