pooling,trial_number,state,validation_balanced_accuracy,best_iteration,fit_seconds,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,scale_pos_weight
mean_std,22,COMPLETE,0.9641714723373581,146,28.867290399997728,4,0.1,0.85,0.75,5,1.0
mean_std,26,COMPLETE,0.9641714723373581,146,22.137263900000107,4,0.1,0.85,0.75,5,1.0
mean_std,31,COMPLETE,0.9641714723373581,146,22.19322689999899,4,0.1,0.85,0.75,5,1.0
mean_std,3,COMPLETE,0.9607586952604072,100,16.72708330000023,4,0.1,0.85,0.75,10,1.0
mean_std,9,COMPLETE,0.9607586952604072,100,15.913198100002774,4,0.1,0.85,0.75,10,1.0
mean_std,11,COMPLETE,0.9607586952604072,100,16.057093100000202,4,0.1,0.85,0.75,10,1.0
mean_std,21,COMPLETE,0.9607586952604072,100,23.882937800000946,4,0.1,0.85,0.75,10,1.0
mean_std,12,COMPLETE,0.95998152820328,283,40.226528099999996,6,0.05,0.85,0.75,10,1.0
mean_std,18,COMPLETE,0.9593620472157145,105,12.53644990000248,3,0.1,0.85,0.5,10,1.0
mean_std,23,COMPLETE,0.9593620472157145,176,20.713788100001693,3,0.1,0.85,0.75,5,1.0
mean_std,30,COMPLETE,0.9593620472157145,74,22.445249899999908,6,0.1,0.85,0.5,5,1.0
mean_std,27,COMPLETE,0.9587425662281492,85,20.089782600000035,5,0.1,1.0,0.75,5,1.0
gap,30,COMPLETE,0.9579653991710217,143,8.742015800002264,3,0.1,0.85,1.0,1,0.6936450839328537
gap,31,COMPLETE,0.9579653991710217,143,8.238857799999096,3,0.1,0.85,1.0,1,0.6936450839328537
mean_std,25,COMPLETE,0.9579653991710217,65,15.973260200000368,4,0.1,0.85,0.75,1,0.6936450839328537
mean_std,13,COMPLETE,0.9573459181834565,209,26.628384800002095,4,0.05,1.0,0.5,10,1.0
mean_std,15,COMPLETE,0.9571882321138945,356,45.59981179999886,4,0.02,0.85,1.0,10,0.6936450839328537
mean_std,19,COMPLETE,0.9571882321138945,136,17.71151689999897,4,0.1,0.7,0.5,10,1.0
mean_std,10,COMPLETE,0.9567264371958911,115,13.959170400001312,3,0.1,1.0,0.75,1,1.0
mean_std,24,COMPLETE,0.9567264371958911,161,23.98382380000112,4,0.1,0.85,1.0,5,1.0
gap,25,COMPLETE,0.956568751126329,107,10.836159200000111,4,0.1,0.85,0.75,1,0.6936450839328537
gap,26,COMPLETE,0.956568751126329,107,12.976430000002438,4,0.1,0.85,0.75,1,0.6936450839328537
gap,27,COMPLETE,0.956568751126329,107,12.086781899997732,4,0.1,0.85,0.75,1,0.6936450839328537
gap,28,COMPLETE,0.956568751126329,107,10.800154599997768,4,0.1,0.85,0.75,1,0.6936450839328537
mean_std,5,COMPLETE,0.956411065056767,306,53.04449370000293,5,0.02,0.7,0.75,5,0.6936450839328537
mean_std,29,COMPLETE,0.9553297891511984,255,35.3030168999976,4,0.05,0.85,0.75,5,1.0
gap,3,COMPLETE,0.954710308163633,156,9.716186800000287,4,0.1,0.85,0.75,10,1.0
gap,9,COMPLETE,0.954710308163633,156,9.636536000001797,4,0.1,0.85,0.75,10,1.0
gap,11,COMPLETE,0.954710308163633,156,9.663054900000134,4,0.1,0.85,0.75,10,1.0
gap,21,COMPLETE,0.954710308163633,156,9.664969099998416,4,0.1,0.85,0.75,10,1.0
gap,8,COMPLETE,0.954552622094071,154,8.297133100000792,3,0.1,0.85,0.75,10,0.6936450839328537
mean_std,17,COMPLETE,0.954552622094071,50,12.37440449999849,4,0.1,1.0,0.75,5,0.6936450839328537
gap,10,COMPLETE,0.9540908271760677,145,8.150448800002778,3,0.1,1.0,0.75,1,1.0
gap,15,COMPLETE,0.9539331411065057,410,24.442860900002415,4,0.02,0.85,1.0,10,0.6936450839328537
gap,16,COMPLETE,0.9539331411065057,188,12.211038999997982,4,0.05,0.85,0.75,10,0.6936450839328537
gap,12,COMPLETE,0.9533136601189403,204,16.58499319999828,6,0.05,0.85,0.75,10,1.0
mean_std,0,COMPLETE,0.9529982879798162,256,35.70030140000017,4,0.02,0.7,0.75,1,0.6936450839328537
gap,29,COMPLETE,0.952851865200937,101,15.652626799997961,6,0.1,0.7,0.75,1,0.6936450839328537
mean_std,28,COMPLETE,0.952694179131375,187,25.786864400000923,4,0.1,0.7,0.75,5,1.0
mean_std,16,COMPLETE,0.952536493061813,181,24.292851099999098,4,0.05,0.85,0.75,10,0.6936450839328537
gap,24,COMPLETE,0.9519170120742476,302,16.044896399998834,4,0.1,0.85,1.0,10,1.0
gap,18,COMPLETE,0.9512975310866822,204,9.584924999999203,3,0.1,0.85,0.5,10,1.0
mean_std,8,COMPLETE,0.9509821589475581,62,10.830581999998685,3,0.1,0.85,0.75,10,0.6936450839328537
gap,1,COMPLETE,0.9505203640295549,181,11.413203799998882,5,0.1,0.7,1.0,10,1.0
gap,19,COMPLETE,0.9499008830419895,141,8.729350500001601,4,0.1,0.7,0.5,10,1.0
mean_std,4,COMPLETE,0.9499008830419895,303,38.58702599999742,4,0.02,0.85,0.5,5,1.0
gap,0,COMPLETE,0.9492814020544242,398,26.686982100000023,4,0.02,0.7,0.75,1,0.6936450839328537
gap,22,COMPLETE,0.9492814020544242,130,9.499811199999385,4,0.1,0.85,0.75,5,1.0
gap,13,COMPLETE,0.9478847540097315,206,12.891141200001584,4,0.05,1.0,0.5,10,1.0
gap,2,COMPLETE,0.9472652730221661,186,16.92730120000124,5,0.05,0.7,1.0,5,1.0
gap,7,COMPLETE,0.9472652730221661,424,28.082341900000756,4,0.02,0.85,0.75,1,1.0
mean_std,1,COMPLETE,0.9472652730221661,132,20.678793200000655,5,0.1,0.7,1.0,10,1.0
gap,17,COMPLETE,0.947107586952604,107,8.60876609999832,4,0.1,1.0,0.75,5,0.6936450839328537
mean_std,2,COMPLETE,0.9464881059650387,178,34.15456289999929,5,0.05,0.7,1.0,5,1.0
gap,5,COMPLETE,0.945249143989908,223,20.926896699998906,5,0.02,0.7,0.75,5,0.6936450839328537
gap,20,COMPLETE,0.945249143989908,297,23.854422800002794,5,0.02,0.85,0.75,10,1.0
gap,14,COMPLETE,0.94323301495765,141,10.425267300000996,6,0.1,0.7,0.75,10,1.0
mean_std,14,COMPLETE,0.943075328888088,58,15.33391020000272,6,0.1,0.7,0.75,10,1.0
mean_std,6,COMPLETE,0.9384235898360065,23,16.86459680000189,5,0.02,0.7,0.5,1,0.6936450839328537
gap,6,COMPLETE,0.933614164714363,108,13.937760900000285,5,0.02,0.7,0.5,1,0.6936450839328537
mean_std,20,COMPLETE,0.9323752027392322,138,31.378472399999737,5,0.02,0.85,0.75,10,1.0
mean_std,7,COMPLETE,0.931755721751667,151,28.06707069999902,4,0.02,0.85,0.75,1,1.0
gap,4,COMPLETE,0.9305167597765363,147,10.981234200000472,4,0.02,0.85,0.5,5,1.0
gap,23,COMPLETE,0.9285006307442782,175,12.746615700001712,4,0.02,1.0,0.75,10,1.0
